Married,2001,75123
Married,2002,75345
Married,2003,77148
Married,2004,79668
Married,2005,80671
Married,2006,85321
Married,2007,87657
Married,2008,87863
Married,2009,89492
Married,2010,93207
Married,2011,95015
Married,2012,95264
Divorcee,2001,1351
Divorcee,2002,1359
Divorcee,2003,1127
Divorcee,2004,1197
Divorcee,2005,1121
Divorcee,2006,1102
Divorcee,2007,1170
Divorcee,2008,1407
Divorcee,2009,1248
Divorcee,2010,1517
Divorcee,2011,1283
Divorcee,2012,1390
Seperated,2001,3044
Seperated,2002,3111
Seperated,2003,2952
Seperated,2004,3500
Seperated,2005,3141
Seperated,2006,2646
Seperated,2007,3348
Seperated,2008,2737
Seperated,2009,3088
Seperated,2010,3917
Seperated,2011,3704
Seperated,2012,3283
Never Married,2001,24063
Never Married,2002,24251
Never Married,2003,24137
Never Married,2004,24592
Never Married,2005,23910
Never Married,2006,24419
Never Married,2007,25454
Never Married,2008,27644
Never Married,2009,27801
Never Married,2010,30810
Never Married,2011,30663
Never Married,2012,30557
Widowed/Widower,2001,4925
Widowed/Widower,2002,6351
Widowed/Widower,2003,5487
Widowed/Widower,2004,4740
Widowed/Widower,2005,5071
Widowed/Widower,2006,4624
Widowed/Widower,2007,5008
Widowed/Widower,2008,5366
Widowed/Widower,2009,5522
Widowed/Widower,2010,5148
Widowed/Widower,2011,4920
Widowed/Widower,2012,4951
