0-14,A & N ISLANDS,53
15-29,A & N ISLANDS,630
30-44,A & N ISLANDS,464
45-59,A & N ISLANDS,311
60+,A & N ISLANDS,165
0-14,ANDHRA PRADESH,3265
15-29,ANDHRA PRADESH,55121
30-44,ANDHRA PRADESH,56770
45-59,ANDHRA PRADESH,34917
60+,ANDHRA PRADESH,12747
0-14,ARUNACHAL PRADESH,49
15-29,ARUNACHAL PRADESH,572
30-44,ARUNACHAL PRADESH,524
45-59,ARUNACHAL PRADESH,160
60+,ARUNACHAL PRADESH,23
0-14,ASSAM,734
15-29,ASSAM,13384
30-44,ASSAM,12747
45-59,ASSAM,6601
60+,ASSAM,1003
0-14,BIHAR,572
15-29,BIHAR,3720
30-44,BIHAR,3298
45-59,BIHAR,1241
60+,BIHAR,414
0-14,CHANDIGARH,16
15-29,CHANDIGARH,531
30-44,CHANDIGARH,349
45-59,CHANDIGARH,111
60+,CHANDIGARH,27
0-14,CHHATTISGARH,2040
15-29,CHHATTISGARH,22048
30-44,CHHATTISGARH,19954
45-59,CHHATTISGARH,11907
60+,CHHATTISGARH,4546
0-14,D & N HAVELI,6
15-29,D & N HAVELI,303
30-44,D & N HAVELI,183
45-59,D & N HAVELI,121
60+,D & N HAVELI,73
0-14,DAMAN & DIU,11
15-29,DAMAN & DIU,131
30-44,DAMAN & DIU,88
45-59,DAMAN & DIU,42
60+,DAMAN & DIU,7
0-14,DELHI (UT),423
15-29,DELHI (UT),8861
30-44,DELHI (UT),5388
45-59,DELHI (UT),1746
60+,DELHI (UT),439
0-14,GOA,61
15-29,GOA,1220
30-44,GOA,1254
45-59,GOA,635
60+,GOA,305
0-14,GUJARAT,871
15-29,GUJARAT,26181
30-44,GUJARAT,22967
45-59,GUJARAT,11868
60+,GUJARAT,4290
0-14,HARYANA,715
15-29,HARYANA,11593
30-44,HARYANA,10666
45-59,HARYANA,4948
60+,HARYANA,1515
0-14,HIMACHAL PRADESH,107
15-29,HIMACHAL PRADESH,2074
30-44,HIMACHAL PRADESH,1765
45-59,HIMACHAL PRADESH,975
60+,HIMACHAL PRADESH,398
0-14,JAMMU & KASHMIR,45
15-29,JAMMU & KASHMIR,1380
30-44,JAMMU & KASHMIR,1014
45-59,JAMMU & KASHMIR,374
60+,JAMMU & KASHMIR,155
0-14,JHARKHAND,450
15-29,JHARKHAND,3572
30-44,JHARKHAND,3468
45-59,JHARKHAND,2021
60+,JHARKHAND,439
0-14,KARNATAKA,3218
15-29,KARNATAKA,46560
30-44,KARNATAKA,50073
45-59,KARNATAKA,33836
60+,KARNATAKA,13278
0-14,KERALA,1083
15-29,KERALA,21285
30-44,KERALA,32473
45-59,KERALA,33191
60+,KERALA,19904
0-14,LAKSHADWEEP,0
15-29,LAKSHADWEEP,2
30-44,LAKSHADWEEP,5
45-59,LAKSHADWEEP,2
60+,LAKSHADWEEP,1
0-14,MADHYA PRADESH,3010
15-29,MADHYA PRADESH,40670
30-44,MADHYA PRADESH,27610
45-59,MADHYA PRADESH,13149
60+,MADHYA PRADESH,5868
0-14,MAHARASHTRA,1917
15-29,MAHARASHTRA,68290
30-44,MAHARASHTRA,62279
45-59,MAHARASHTRA,33162
60+,MAHARASHTRA,14741
0-14,MANIPUR,5
15-29,MANIPUR,198
30-44,MANIPUR,163
45-59,MANIPUR,44
60+,MANIPUR,11
0-14,MEGHALAYA,32
15-29,MEGHALAYA,495
30-44,MEGHALAYA,340
45-59,MEGHALAYA,169
60+,MEGHALAYA,50
0-14,MIZORAM,28
15-29,MIZORAM,386
30-44,MIZORAM,298
45-59,MIZORAM,95
60+,MIZORAM,27
0-14,NAGALAND,7
15-29,NAGALAND,130
30-44,NAGALAND,161
45-59,NAGALAND,49
60+,NAGALAND,0
0-14,ODISHA,1898
15-29,ODISHA,19665
30-44,ODISHA,17961
45-59,ODISHA,10405
60+,ODISHA,3519
0-14,PUDUCHERRY,76
15-29,PUDUCHERRY,2251
30-44,PUDUCHERRY,2122
45-59,PUDUCHERRY,1396
60+,PUDUCHERRY,584
0-14,PUNJAB,149
15-29,PUNJAB,3675
30-44,PUNJAB,3172
45-59,PUNJAB,1585
60+,PUNJAB,689
0-14,RAJASTHAN,1512
15-29,RAJASTHAN,19151
30-44,RAJASTHAN,18672
45-59,RAJASTHAN,9480
60+,RAJASTHAN,2212
0-14,SIKKIM,76
15-29,SIKKIM,747
30-44,SIKKIM,580
45-59,SIKKIM,361
60+,SIKKIM,160
0-14,TAMIL NADU,3205
15-29,TAMIL NADU,52468
30-44,TAMIL NADU,56599
45-59,TAMIL NADU,36792
60+,TAMIL NADU,14749
0-14,TRIPURA,312
15-29,TRIPURA,3660
30-44,TRIPURA,3135
45-59,TRIPURA,1568
60+,TRIPURA,519
0-14,UTTAR PRADESH,1597
15-29,UTTAR PRADESH,20480
30-44,UTTAR PRADESH,14524
45-59,UTTAR PRADESH,7105
60+,UTTAR PRADESH,2974
0-14,UTTARAKHAND,104
15-29,UTTARAKHAND,1654
30-44,UTTARAKHAND,1256
45-59,UTTARAKHAND,552
60+,UTTARAKHAND,136
0-14,WEST BENGAL,5462
15-29,WEST BENGAL,61530
30-44,WEST BENGAL,61936
45-59,WEST BENGAL,36509
60+,WEST BENGAL,10550
