60+,2001,8562
60+,2002,8880
60+,2003,9098
60+,2004,9213
60+,2005,9317
60+,2006,9127
60+,2007,9595
60+,2008,9230
60+,2009,10189
60+,2010,11109
60+,2011,10785
60+,2012,11413
0-14,2001,3007
0-14,2002,2880
0-14,2003,2576
0-14,2004,2913
0-14,2005,2555
0-14,2006,2464
0-14,2007,2479
0-14,2008,2381
0-14,2009,2951
0-14,2010,3130
0-14,2011,3035
0-14,2012,2738
15-29,2001,38910
15-29,2002,39288
15-29,2003,39828
15-29,2004,40136
15-29,2005,40234
15-29,2006,42216
15-29,2007,43160
15-29,2008,44652
15-29,2009,43920
15-29,2010,47625
15-29,2011,48014
15-29,2012,46635
30-44,2001,36448
30-44,2002,37512
30-44,2003,37017
30-44,2004,38296
30-44,2005,38183
30-44,2006,40699
30-44,2007,41832
30-44,2008,43562
30-44,2009,43488
30-44,2010,44846
30-44,2011,46215
30-44,2012,46160
45-59,2001,21579
45-59,2002,21857
45-59,2003,22332
45-59,2004,23139
45-59,2005,23625
45-59,2006,23606
45-59,2007,25571
45-59,2008,25192
45-59,2009,26603
45-59,2010,27889
45-59,2011,27536
45-59,2012,28499
