A & N ISLANDS,Divorcee,3
A & N ISLANDS,Married,1078
A & N ISLANDS,Never Married,533
A & N ISLANDS,Seperated,3
A & N ISLANDS,Widowed/Widower,6
ANDHRA PRADESH,Divorcee,2148
ANDHRA PRADESH,Married,122261
ANDHRA PRADESH,Never Married,23527
ANDHRA PRADESH,Seperated,6612
ANDHRA PRADESH,Widowed/Widower,8272
ARUNACHAL PRADESH,Divorcee,3
ARUNACHAL PRADESH,Married,954
ARUNACHAL PRADESH,Never Married,357
ARUNACHAL PRADESH,Seperated,2
ARUNACHAL PRADESH,Widowed/Widower,12
ASSAM,Divorcee,534
ASSAM,Married,20039
ASSAM,Never Married,10157
ASSAM,Seperated,2394
ASSAM,Widowed/Widower,1345
BIHAR,Divorcee,132
BIHAR,Married,5827
BIHAR,Never Married,2477
BIHAR,Seperated,307
BIHAR,Widowed/Widower,502
CHANDIGARH,Divorcee,2
CHANDIGARH,Married,669
CHANDIGARH,Never Married,363
CHANDIGARH,Seperated,0
CHANDIGARH,Widowed/Widower,0
CHHATTISGARH,Divorcee,197
CHHATTISGARH,Married,42938
CHHATTISGARH,Never Married,14489
CHHATTISGARH,Seperated,438
CHHATTISGARH,Widowed/Widower,2433
D & N HAVELI,Divorcee,4
D & N HAVELI,Married,508
D & N HAVELI,Never Married,157
D & N HAVELI,Seperated,6
D & N HAVELI,Widowed/Widower,11
DAMAN & DIU,Divorcee,1
DAMAN & DIU,Married,141
DAMAN & DIU,Never Married,128
DAMAN & DIU,Seperated,3
DAMAN & DIU,Widowed/Widower,6
DELHI (UT),Divorcee,47
DELHI (UT),Married,11003
DELHI (UT),Never Married,4924
DELHI (UT),Seperated,620
DELHI (UT),Widowed/Widower,263
GOA,Divorcee,20
GOA,Married,2020
GOA,Never Married,1316
GOA,Seperated,39
GOA,Widowed/Widower,80
GUJARAT,Divorcee,895
GUJARAT,Married,47143
GUJARAT,Never Married,13975
GUJARAT,Seperated,1050
GUJARAT,Widowed/Widower,3114
HARYANA,Divorcee,225
HARYANA,Married,21653
HARYANA,Never Married,5403
HARYANA,Seperated,800
HARYANA,Widowed/Widower,1356
HIMACHAL PRADESH,Divorcee,33
HIMACHAL PRADESH,Married,3636
HIMACHAL PRADESH,Never Married,1351
HIMACHAL PRADESH,Seperated,139
HIMACHAL PRADESH,Widowed/Widower,160
JAMMU & KASHMIR,Divorcee,48
JAMMU & KASHMIR,Married,1806
JAMMU & KASHMIR,Never Married,920
JAMMU & KASHMIR,Seperated,126
JAMMU & KASHMIR,Widowed/Widower,68
JHARKHAND,Divorcee,178
JHARKHAND,Married,6243
JHARKHAND,Never Married,2705
JHARKHAND,Seperated,303
JHARKHAND,Widowed/Widower,521
KARNATAKA,Divorcee,949
KARNATAKA,Married,102867
KARNATAKA,Never Married,33440
KARNATAKA,Seperated,3947
KARNATAKA,Widowed/Widower,5762
KERALA,Divorcee,999
KERALA,Married,82456
KERALA,Never Married,18556
KERALA,Seperated,1846
KERALA,Widowed/Widower,4079
LAKSHADWEEP,Divorcee,0
LAKSHADWEEP,Married,10
LAKSHADWEEP,Never Married,0
LAKSHADWEEP,Seperated,0
LAKSHADWEEP,Widowed/Widower,0
MADHYA PRADESH,Divorcee,790
MADHYA PRADESH,Married,61103
MADHYA PRADESH,Never Married,23211
MADHYA PRADESH,Seperated,1178
MADHYA PRADESH,Widowed/Widower,4025
MAHARASHTRA,Divorcee,892
MAHARASHTRA,Married,134843
MAHARASHTRA,Never Married,37539
MAHARASHTRA,Seperated,958
MAHARASHTRA,Widowed/Widower,6157
MANIPUR,Divorcee,0
MANIPUR,Married,244
MANIPUR,Never Married,174
MANIPUR,Seperated,0
MANIPUR,Widowed/Widower,3
MEGHALAYA,Divorcee,15
MEGHALAYA,Married,587
MEGHALAYA,Never Married,424
MEGHALAYA,Seperated,12
MEGHALAYA,Widowed/Widower,48
MIZORAM,Divorcee,54
MIZORAM,Married,347
MIZORAM,Never Married,340
MIZORAM,Seperated,77
MIZORAM,Widowed/Widower,16
NAGALAND,Divorcee,1
NAGALAND,Married,191
NAGALAND,Never Married,148
NAGALAND,Seperated,5
NAGALAND,Widowed/Widower,2
ODISHA,Divorcee,683
ODISHA,Married,34747
ODISHA,Never Married,14035
ODISHA,Seperated,1370
ODISHA,Widowed/Widower,2613
PUDUCHERRY,Divorcee,0
PUDUCHERRY,Married,4673
PUDUCHERRY,Never Married,1612
PUDUCHERRY,Seperated,0
PUDUCHERRY,Widowed/Widower,144
PUNJAB,Divorcee,174
PUNJAB,Married,5661
PUNJAB,Never Married,2903
PUNJAB,Seperated,234
PUNJAB,Widowed/Widower,298
RAJASTHAN,Divorcee,241
RAJASTHAN,Married,35583
RAJASTHAN,Never Married,13470
RAJASTHAN,Seperated,485
RAJASTHAN,Widowed/Widower,1248
SIKKIM,Divorcee,74
SIKKIM,Married,1025
